DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
0.43,-101.43703687570253,-104.06755579999852,-104.86353928455323,0.7396416703817559
0.435,-101.08719709740484,-103.5697202955202,-104.69840111286982,0.7206081522763174
0.44,-100.7382418406395,-103.63902259596371,-103.86089443078671,0.7726275826218502
0.445,-102.11296944882827,-104.45440924750129,-105.9142311751196,0.7017569046381382
0.45,-102.0403825594716,-103.95947804800807,-106.51153049931123,0.6405594170788725
0.455,-101.36215707978957,-103.34950084708397,-105.71311575431241,0.650986332914238
0.46,-101.18185061224084,-103.24892869952592,-105.39874724668637,0.6628891645134377
0.465,-102.25433443989921,-104.46347511306192,-106.24779258738042,0.6833994876193125
0.47000000000000003,-102.12427131602512,-103.87579218884295,-106.9143284485989,0.6139480876754425
0.47500000000000003,-101.96532238611091,-104.15506615145142,-105.98819794784288,0.6806493551056593
0.48,-102.04348583558931,-104.29085174616506,-105.97992519002864,0.6887743533915835
0.485,-102.33960690613044,-104.33631142727242,-106.67448136441521,0.6523990034979849
0.49,-102.13382699106369,-103.95376848951108,-106.78933547926563,0.6249941883198847
0.495,-103.28292595858781,-105.17768610118327,-107.798217260138,0.6367859893872431
0.5,-102.61605892709593,-103.97084739767087,-108.3349860964417,0.5441262996159916
0.505,-103.06193789950103,-104.78402732356521,-107.91185371636344,0.6091157955086657
0.51,-103.64616550557885,-105.43031416028163,-108.37127559115828,0.6192478560512311
0.515,-102.407314054463,-103.79735648462159,-108.03137571141212,0.550784237846802
0.52,-103.1559558403962,-104.84128195238205,-108.0824062618731,0.6030089230326735
0.525,-103.82090887154754,-104.93909553501054,-110.26071294845843,0.49660311754495406
0.53,-102.97732331933686,-104.26652480997924,-108.88062509067836,0.5314664055375017
0.535,-104.1993098009018,-105.67950585531476,-109.59305833522563,0.5673729243163693
0.54,-103.08355935105047,-104.20094507785166,-109.52609200602882,0.49643292012640344
0.545,-103.6613780253186,-104.85262087162967,-109.86123342578082,0.5118453950185714
0.55,-104.61307919478627,-105.75951296400746,-110.95804717433188,0.5025618772783476
0.555,-104.00275729936777,-105.03369607957625,-110.753548873379,0.4776405748180132
0.56,-104.2983450971658,-105.12505472999757,-111.90945794542336,0.42941212920946215
0.5650000000000001,-104.47956146772285,-105.28194738207993,-112.20858942564591,0.4232464552695558
0.5700000000000001,-104.09530748913495,-104.68623305467094,-113.04993591219116,0.3647027817942426
0.5750000000000001,-104.34588479004725,-104.99344005692208,-112.93071480609946,0.3813616977404547
0.58,-104.21075215785311,-104.59378984269767,-114.94629154022532,0.29480308848462616
0.585,-105.24628302147242,-106.0641935055491,-112.89960728117585,0.4271933180786404
0.59,-104.3332619638752,-105.24313658186061,-111.56828709980203,0.44977082444406535
0.595,-104.44305875959614,-104.7784378832244,-115.73215209577842,0.2761070556950092
0.6,-104.86449091741001,-105.93738419669955,-111.4621772593164,0.4868675818896272
0.605,-104.92065062161802,-105.60311744358219,-113.29444407486754,0.39124346530583426
0.61,-104.71364607216371,-105.211902762653,-114.36370457151855,0.3354861287144549
0.615,-105.3561948704029,-105.91178007586949,-114.56136280540888,0.3538700076081525
0.62,-105.27823531110033,-105.94445959296633,-113.74872843684673,0.38668076326449224
0.625,-104.18731253741718,-105.01571573540245,-111.79035760462091,0.4298376920279878
0.63,-104.85019908436217,-105.68297454277216,-112.43249912716279,0.43093415893280085
0.635,-104.02607185037498,-104.49236892051049,-113.94835075749529,0.3247480978500378
0.64,-104.98316677310518,-105.28990501871958,-116.64579705991909,0.2641999324066772
0.645,-105.2694825525819,-105.8078307542157,-114.60308690443492,0.34845304817964856
0.65,-103.34451215425236,-103.93910984833491,-112.27403047639947,0.3658083070314023
0.655,-104.07215630367979,-104.52168987389796,-114.14520629933124,0.3189602068392783
0.66,-104.5815639992704,-105.27070134105622,-112.91636256646294,0.39310028126511626
0.665,-105.15548230971304,-105.73181369776441,-114.21158210006924,0.3602723706590103
0.67,-105.11690217544248,-105.71174113006585,-114.04477656464962,0.36588081252100385
0.675,-104.22352164936724,-104.6402423439671,-114.60960847917143,0.3072927319819433
0.68,-105.37834425151487,-105.82022704754914,-115.5221846417414,0.3162808899875606
0.685,-104.89931790796982,-105.45891326471248,-114.07521372755527,0.3551173706143679
0.6900000000000001,-105.03289474256418,-105.7627524617406,-113.13817515591857,0.4042299591675231
0.6950000000000001,-103.98104060316678,-104.51521551389081,-113.34639904658874,0.3471277165597693
0.7000000000000001,-104.35802338636495,-104.94487365034551,-113.34071494654233,0.36347156812193027
0.705,-103.75271378392742,-104.58466388001466,-111.33892073934634,0.43072741876877435
0.71,-104.70678622385451,-105.1251651651994,-115.07644140969893,0.3078936990849473
0.715,-104.74195602241976,-105.53559185705609,-112.51436312089267,0.42100344367875175
0.72,-103.70121920119735,-104.73689616707975,-110.43437160261055,0.47869309568664314
0.725,-104.06140433358034,-105.0231315068387,-111.0807220150449,0.4619463069667683
0.73,-103.5849881128434,-104.32195289918015,-111.65163677772841,0.40613762623897964
0.735,-103.34298656111606,-104.26452255095134,-110.52833012709738,0.452541956792771
0.74,-104.84640566364072,-105.76017338301723,-112.06476666926434,0.4506981340857544
0.745,-103.48536183047493,-105.10362840253016,-108.55674169129274,0.5916592459483523
0.75,-105.03083973126124,-105.73732262964553,-113.26612022313002,0.3978835801831922
0.755,-103.76680210389267,-104.96109492825329,-109.95700760253465,0.5124699856397912
0.76,-102.64703976815292,-104.03637450852975,-108.27297803524664,0.5506515612925986
0.765,-103.27119840471036,-104.52727536354641,-109.27179114372149,0.5249306959023748
0.77,-103.40863641477212,-104.50150563302307,-109.9357793949531,0.4911893892511941
0.775,-103.06311266647315,-104.28742697548981,-109.15981215319474,0.5185698177701451
0.78,-102.9591683782811,-104.61562805908792,-107.94713961130056,0.5981572524167683
