DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)
0.725,-104.9583641914913,-115.45777307194003,-105.36383465621756,1.2676143336070154,-105.37542734252877
0.73,-104.86191999093053,-114.3053522318977,-105.3859794974695,1.2269040111210259,-105.4275715574278
0.735,-105.77251233407962,-116.58832527833621,-106.14822264342514,1.2787854242982812,-105.47624115672144
0.74,-106.13920995842611,-116.69965182867415,-106.53875354020835,1.269804010902171,-105.52071682587889
0.745,-105.4056344036664,-114.49589799109259,-105.9771391965792,1.2120023455042894,-105.56033373664424
0.75,-105.02659572743453,-114.14172023750062,-105.59461534495361,1.2130740040733587,-105.59449018175046
0.755,-105.30754417708866,-116.0650068334501,-105.68856600947453,1.2767586016088732,-105.62265538959528
0.76,-106.01504550832558,-116.75767295069605,-106.39743022770581,1.2762409203280767,-105.64437641738155
0.765,-106.367436486821,-115.26525157813673,-106.96670540955823,1.203586972777236,-105.6592840331966
0.77,-105.39568531989174,-114.61084850244212,-105.94990824185045,1.2173511501759957,-105.66709751064052
0.775,-105.81264208216396,-115.58992240091314,-106.29568367019087,1.2403754268933869,-105.66762827373967
0.78,-105.2603695496387,-113.72519811873892,-105.92753370475899,1.1838499175246577,-105.66078234481762
0.785,-106.08750996582864,-114.95321493647333,-106.69155014058569,1.2021619476770355,-105.64656156354617
0.79,-105.12213874954922,-116.11240660093668,-105.48242467121793,1.2847574629061849,-105.62506356136133
0.795,-105.72249799803006,-114.9646374590206,-106.27306196612648,1.2184949629762563,-105.59648049159748
0.8,-105.31471847209829,-120.7356539553196,-105.44119184045331,1.4005597277363098,-105.56109653185604
0.805,-105.66018782518354,-113.6147140337707,-106.41820953020427,1.159064665925503,-105.51928419107297
0.81,-105.90046255771325,-118.0500325247412,-106.17362036686458,1.3213161795405233,-105.47149946927621
0.8150000000000001,-106.15214909612213,-115.05604915993601,-106.7505184077531,1.2038563385404393,-105.41827593292663
0.8200000000000001,-106.4007554111938,-118.40287038329936,-106.6836608534271,1.3169514323247975,-105.36021778282124
0.8250000000000001,-105.36838161999057,-116.00976842830798,-105.76020421516847,1.2726821717059753,-105.29799200462338
0.8300000000000001,-105.65057769627684,-116.42805651006383,-106.02976871283565,1.2774555462155903,-105.23231970399884
0.835,-105.52484081070035,-115.13879587754396,-106.02750706056429,1.233857560940075,-105.16396673892761
0.84,-104.1639182768777,-116.83560241805921,-104.40525696792959,1.336152934482406,-105.09373377088829
0.845,-104.70166913561008,-119.00152632729441,-104.86610418902319,1.3768266251797494,-105.0224458641588
0.85,-105.5405806812608,-116.55358843247951,-105.89890524983903,1.2855263413980558,-104.95094176834488
0.855,-105.76776080186336,-119.07417797284539,-105.97548515471908,1.3529655940992908,-104.88006302335982
0.86,-104.83097869695433,-115.79893451871601,-105.1931999428205,1.284000922803069,-104.81064302838276
0.865,-105.56431011837086,-118.33010369579725,-105.80033218730281,1.3387281750480038,-104.74349621678823
0.87,-105.13636916888538,-127.82867676552007,-105.15979658523685,1.4973830183729673,-104.67940747765975
0.875,-105.09150725732107,-119.85982258306704,-105.23883976419691,1.387130366229796,-104.61912196129512
0.88,-105.10524671296642,-119.77203819629833,-105.25612517411565,1.384945958856629,-104.56333540111943
0.885,-104.60471080195269,-120.63664362750762,-104.71437444598334,1.4122248995884763,-104.51268507771145
0.89,-104.19061749581665,-116.04496781351885,-104.48365190467092,1.3124974594818746,-104.46774154230526
0.895,-103.87609328994047,-116.39602583637154,-104.12626583077056,1.3319377057620112,-104.42900120726081
0.9,-104.00612977841078,-117.39049280765292,-104.2100710721236,1.3549425736544423,-104.39687989973274
0.905,-104.41642235683068,-119.6783300847855,-104.54768469163456,1.397382585792187,-104.37170746225311
0.91,-104.22941883626896,-119.36609392282107,-104.36458171068242,1.3948380837129513,-104.35372347034172
0.915,-105.10871319512142,-118.4768205528335,-105.31343758470305,1.3545318066532903,-104.34307412274642
0.92,-104.30144998368333,-117.15289854696559,-104.53273767334706,1.3410465921955148,-104.33981034468175
0.925,-103.42387090496688,-118.50852035737694,-103.56068860706777,1.3937698406470227,-104.3438871286761
0.93,-105.15668080855144,-117.9438185943536,-105.3915138916577,1.3393081562743774,-104.35516412156097
0.935,-105.09212219351795,-119.55591448492677,-105.25035357898957,1.3804980868329353,-104.37340744994721
0.9400000000000001,-104.45773292654594,-117.82887218542817,-104.66231102504862,1.3546084813615913,-104.39829276044621
0.9450000000000001,-104.65611779911262,-120.99715475934495,-104.75815831639534,1.4178132111533033,-104.42940943511408
0.9500000000000001,-104.85446449166804,-116.69509521605659,-105.1484581769445,1.312079794422115,-104.46626592733159
0.9550000000000001,-104.29844213206135,-116.85961931560936,-104.54618129693785,1.333091088865569,-104.50829614877975
0.96,-104.83143740971431,-115.43728479668827,-105.22663055377754,1.2714221128783492,-104.55486682451816
0.965,-104.72610368926917,-117.99391765804242,-104.93572816043158,1.3519795705519433,-104.6052857205996
0.97,-104.67521445167694,-117.29482500675564,-104.91954774358337,1.3347152513374725,-104.65881063732273
0.975,-104.96279864555154,-117.24515266159966,-105.22747523575,1.3251796980570911,-104.71465905128089
0.98,-105.32858858067733,-124.55327968325592,-105.38081907165301,1.4612407329133934,-104.77201828094076
0.985,-104.76888626223007,-114.03337815606346,-105.31643792157858,1.2194396711644528,-104.83005604368661
0.99,-106.60224425088174,-119.6913808086161,-106.82089828231145,1.3473552772885666,-104.88793126718431
0.995,-105.43188223616542,-115.95234659464589,-105.83529768038193,1.2683716479779805,-104.94480501461913
1.0,-105.16873058147962,-116.13290866256035,-105.53128057603007,1.2838726207008997,-104.999851381886
