DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)_dBm,C_fit,A_contrast_fit,A_pi_fit,Adec_fit
0.225,-95.2666396754693,-98.381997925177,-98.17436284766032,0.7973494610611114,-94.55471043036786,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.23,-95.39869531077133,-98.63241615446084,-98.19650798809712,0.8104805279568874,-94.47786794783974,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.23500000000000001,-95.24526573610558,-98.4426093660528,-98.07624616851203,0.8064814737791687,-94.35988555810107,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.24,-95.45830887416109,-98.75422465948927,-98.20062316744567,0.8172444730253264,-94.21298473141019,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.245,-95.21920562136697,-98.3364405342185,-98.12514049688134,0.7975603717727168,-94.0511878556952,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.25,-95.21233872051837,-98.72259061558591,-97.77434465735111,0.8398754832004321,-93.88879392806763,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.255,-95.059926251623,-98.70316261970723,-97.51790843630289,0.8534161155347012,-93.73911114398874,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.26,-94.72376909095503,-98.10294281434591,-97.39408802310564,0.8261579058252749,-93.613540899872,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.265,-94.82069583055812,-98.07985826256566,-97.59562422912354,0.8132584871252225,-93.52100225752564,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.27,-95.11784854495207,-98.23099808821203,-98.02767835681726,0.7971011192651436,-93.46762688711269,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.275,-94.70715738663208,-97.90728677499332,-97.53557899805568,0.8067888550227685,-93.45663947943954,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.28,-94.74380523615875,-98.24111212041873,-97.31624507667966,0.8385374706644378,-93.4883529915602,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.28500000000000003,-94.98590284138074,-98.41008314453175,-97.61835594373284,0.83091066479525,-93.56023697165716,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.29,-94.23299440402296,-97.78953447394939,-96.75814596285208,0.844630626469399,-93.66705020099079,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.295,-94.70389675137196,-98.02230683699214,-97.42650486543488,0.8196684178184834,-93.80105957080721,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.3,-94.62971134469917,-97.9668392657605,-97.33606670405459,0.8216764778987474,-93.95239035853253,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.305,-94.34862577565934,-97.46436187733373,-97.25598876645381,0.7973919334975647,-94.10956259798365,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.31,-94.67705456007165,-98.16427991995931,-97.2576593191229,0.8374929317045435,-94.26025609588078,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.315,-94.30758287104348,-98.03120278384685,-96.70536246917784,0.8614250014020618,-94.3923060339088,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.32,-94.78135271045136,-97.97510904264668,-97.61563285046337,0.8060853716989259,-94.49486283392221,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.325,-94.2913965080362,-97.7230940623083,-96.91759503597535,0.8317000955809636,-94.55956978153752,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.33,-94.36758843306264,-97.74334862512521,-97.04080894269687,0.825795575473034,-94.58155172976369,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.335,-94.220065965114,-97.6571077808851,-96.84182995009803,0.8322605676226045,-94.56000451383382,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.34,-94.11147339294357,-97.91294753269005,-96.45276142312369,0.8690600934436935,-94.49824570677433,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.34500000000000003,-94.20716317924266,-97.61366568379924,-96.85440323789197,0.8290492681549316,-94.40321450034546,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.35000000000000003,-94.17766387516542,-97.45208163852892,-96.93899175430248,0.8149168289858308,-94.28454110047963,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.355,-94.22343700507204,-97.61484842725031,-96.88338819838006,0.8274547191813557,-94.1533901432055,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.36,-94.08000935481319,-97.96024306765852,-96.36588851083678,0.8766655049099892,-94.02129262321573,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.365,-94.18339708237787,-97.61396948631563,-96.81053050707484,0.8315820165458507,-93.89912903641927,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.37,-94.22542822917038,-97.95739198190022,-96.61706938965368,0.862248945124235,-93.79634780406234,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.375,-93.8342137999905,-97.30947123189962,-96.42455594128954,0.8362500889839356,-93.72043152501531,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.38,-94.07108266096463,-97.57947149401747,-96.63458680120273,0.8396831365021318,-93.6765778651214,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.385,-93.96250750353728,-97.45970176626203,-96.53503836575369,0.8385258141454572,-93.66754455617995,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.39,-93.87451605982787,-97.35968756047754,-96.45678842964627,0.8372798636341191,-93.69361231792976,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.395,-93.98513049783563,-98.09741020832166,-96.11723784996614,0.8984113048503698,-93.75263639456584,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.4,-94.05226320649818,-97.6139456917816,-96.57336370568865,0.8451561032943967,-93.84017897881958,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.405,-94.15923583398103,-97.53904165363602,-96.82901793301636,0.8262249709834918,-93.9497351678825,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.41000000000000003,-93.58938857460407,-97.14656009854245,-96.11404222852435,0.8446951814507765,-94.07307929154747,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.41500000000000004,-93.71415773150596,-97.39906555102766,-96.14068723164237,0.8575841623069947,-94.20076146448005,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.42,-93.69736535604056,-97.45972289438183,-96.06681822584859,0.8652387259415266,-94.32277119081503,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.425,-93.64451549969232,-97.12639057078886,-96.22946736287352,0.8369376999394319,-94.42935320667314,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.43,-93.58342518039316,-97.5434926012788,-95.81484909746193,0.8842564238263824,-94.51191384038155,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.435,-93.70101520769964,-97.1909545911349,-96.27941853218731,0.8377743454998446,-94.56390639706761,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.44,-93.39911401782871,-97.17267243207144,-95.76045735071695,0.8663359861348398,-94.58155172976369,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.445,-93.41217059911202,-96.98517865208728,-95.9243792722316,0.8463114466328533,-94.56425545041562,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.45,-93.49346538403644,-97.32618178469298,-95.81256874478649,0.8720910709735907,-94.51463389026999,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.455,-93.46664396776788,-97.3019082951975,-95.78395007897173,0.8723374384363864,-94.43814380296624,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.46,-93.66780871431851,-97.72470218074545,-95.83539164657495,0.893308024542824,-94.34239587605714,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.465,-93.46066263034736,-97.21098527000663,-95.8388691962862,0.8640570387124313,-94.23628817038428,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
