Delay_us,I,Q,Magnitude_linear,Phase_rad,Fit_on_data,A_fit,T2_echo_fit_us,C_fit,p_fit
13.507299999999999,-1.7687218258713275e-06,-2.31711444920898e-06,2.9150293768754097e-06,-2.222773880888684,3.024555770242382e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
13.757249999999999,-1.6689126168934898e-06,-2.334467686922318e-06,2.8696704870264656e-06,-2.1914529240752287,3.0245556900393436e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
14.0072,-1.8747376599996195e-06,-2.369843234704033e-06,3.021721074304067e-06,-2.240075067416714,3.024555610192652e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
14.25715,-1.7095680751905113e-06,-2.224806290000186e-06,2.8057772598221303e-06,-2.225977418793037,3.0245555307007233e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
14.5071,-1.7814834601553166e-06,-2.356105226283685e-06,2.9537967357501524e-06,-2.2181987404567867,3.024555451561982e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
14.75705,-1.8737669104948123e-06,-2.3044617821216604e-06,2.970108843144408e-06,-2.253476547667259,3.0245553727748582e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
15.007,-1.8465621813244426e-06,-2.2456566908548224e-06,2.9073640746694786e-06,-2.258976719333552,3.0245552943377896e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
15.25695,-1.8989256785186132e-06,-2.2650981020350183e-06,2.955772004803486e-06,-2.268482955770857,3.0245552162492216e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
15.506900000000002,-1.895146072552823e-06,-2.193331389314158e-06,2.8986688703029128e-06,-2.283390299762949,3.0245551385076056e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
15.756850000000002,-1.8538958141341234e-06,-2.3231810978623935e-06,2.972221408833659e-06,-2.244315855941949,3.0245550611113994e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
16.006800000000002,-1.7183956662810928e-06,-2.323309902168306e-06,2.8897495682856228e-06,-2.2076291930206673,3.0245549840590687e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
16.25675,-1.8190419896676085e-06,-2.306247647259847e-06,2.9372933068839876e-06,-2.238636871404164,3.0245549073490862e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
16.5067,-1.8296342239254493e-06,-2.391868077367261e-06,3.0114106815391083e-06,-2.2237903161987953,3.02455483097993e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
16.75665,-1.768439024864977e-06,-2.2807242172463647e-06,2.8860144732484338e-06,-2.2303467930752015,3.024554754950086e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
17.006600000000002,-1.905209135503258e-06,-2.334870892200673e-06,3.013543418179177e-06,-2.25520580742957,3.024554679258047e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
17.25655,-1.7693772873157174e-06,-2.4486748111952383e-06,3.0210435805944215e-06,-2.1965201728062245,3.024554603902312e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
