# freq_Hz, phase_rad_detrended, phase_rad
7.135703333333333015e+09,5.731131757011809214e-02,-6.317415082357438649e+00
7.135766666666666985e+09,6.829756686092736118e-02,-6.330293429642193104e+00
7.135830000000000000e+09,4.581882443283991080e-02,-6.376636768645506770e+00
7.135893333333333015e+09,4.969870801747600098e-02,-6.396621481635766493e+00
7.135956666666666985e+09,5.785665523441796410e-02,-6.412328130994384701e+00
7.136020000000000000e+09,4.730891773534473543e-02,-6.446740465068687698e+00
7.136083333333333015e+09,4.818290015446535790e-02,-6.469731079224459336e+00
7.136146666666666985e+09,4.204340451624144492e-02,-6.499735171438246972e+00
7.136210000000000000e+09,5.984221110211596084e-02,-6.505800961427598672e+00
7.136273333333333015e+09,3.907431243632686346e-02,-6.550433456668283583e+00
7.136336666666666985e+09,6.871266800884967552e-02,-6.544659697671324494e+00
7.136400000000000000e+09,4.736643105022420031e-02,-6.589870531205176185e+00
7.136463333333333015e+09,3.204851211134140954e-02,-6.629053046719288744e+00
7.136526666666666985e+09,4.441273993901262429e-02,-6.640553415466843745e+00
7.136590000000000000e+09,4.880440916726058731e-02,-6.660026342813825551e+00
7.136653333333333015e+09,5.771943768520149121e-02,-6.674975910871110862e+00
7.136716666666666985e+09,5.173955453825485051e-02,-6.704820390593287271e+00
7.136780000000000000e+09,5.179835827060763620e-02,-6.728626183436160701e+00
7.136843333333333015e+09,6.513953389327564736e-02,-6.739149604388722459e+00
7.136906666666666985e+09,6.020340415650693444e-02,-6.767950330701054895e+00
7.136970000000000000e+09,6.554501826915615226e-02,-6.786473313163297938e+00
7.137033333333333015e+09,6.937944610803015166e-02,-6.806503481899650154e+00
7.137096666666666985e+09,4.772694158933799002e-02,-6.852020582993906039e+00
7.137160000000000000e+09,1.198679587391726642e-02,-6.911625325284222576e+00
7.137223333333333015e+09,7.276150688784710496e-02,-6.874715210845518953e+00
7.137286666666666985e+09,7.889027442222928954e-02,-6.892451039886700492e+00
7.137350000000000000e+09,3.296670676937374367e-02,-6.962239204114448299e+00
7.137413333333333015e+09,4.825085867088496627e-02,-6.970819648788166845e+00
7.137476666666666985e+09,4.858686518078592087e-02,-6.994348238853826061e+00
7.137540000000000000e+09,1.364314637657582097e-02,-7.053156554233265929e+00
7.137603333333333015e+09,6.618181913662990468e-02,-7.024482478048104106e+00
7.137666666666666985e+09,4.824198045792638112e-02,-7.066286913302371353e+00
7.137730000000000000e+09,2.661016468753985009e-02,-7.111783325647987652e+00
