Frequency_Hz,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
5148760000.0,-120.42658047571919,-123.59829117640555,-123.28125435960865,-2.3379484349671666
5148750000.0,-121.4916762203178,-124.466756922371,-124.53748337997189,-2.3602657873763158
5148740000.0,-121.7221977637549,-125.31337556241806,-124.22022724147068,-2.293433276343422
5148730000.0,-120.21909480185032,-123.74316876685802,-122.7700216637773,-2.300292469036399
5148720000.0,-121.22525467586662,-122.76547314703215,-126.47464772368147,-2.5635033256905984
5148710000.0,-122.09293893857836,-126.41705441026409,-124.09593572477512,-2.2241426025338398
5148700000.0,-120.0787068000149,-123.79752590048163,-122.48002757656079,-2.2806423496884745
5148690000.0,-123.01379136636399,-126.0141047686835,-126.03410089423434,-2.3573455586908736
5148680000.0,-120.25434186932895,-123.9360747194481,-122.68324919154908,-2.284324824745921
5148670000.0,-121.04470744221649,-124.51452066790557,-123.6394952567882,-2.3059089626228313
5148660000.0,-122.14134702402777,-125.97772895536117,-124.45786536997915,-2.2691471892125477
5148650000.0,-121.15608660857463,-126.1169996287646,-122.82516841563049,-2.1710812338254017
5148640000.0,-121.06787331165394,-124.4660941176781,-123.7220789225583,-2.3134178115575494
5148630000.0,-120.21124122948953,-123.00188688530717,-123.4528995914914,-2.3821452098578075
5148620000.0,-120.51465870221281,-123.30201285521127,-123.75997168909045,-2.3825445143537736
5148610000.0,-120.73320760803945,-123.7790662896171,-123.70823762102388,-2.3521173094660233
5148600000.0,-120.57059570570871,-123.9013070543333,-123.2825078619625,-2.320603638916118
5148590000.0,-120.1128486493419,-122.84386198573645,-123.4216375611161,-2.389429425458941
5148580000.0,-121.05693215068838,-124.47257021376957,-123.6965167838419,-2.311580581526438
5148570000.0,-120.18030909967902,-124.41530229820751,-122.2363930805808,-2.2320615754605226
5148560000.0,-120.6010107223659,-123.94741956988697,-123.29935576783598,-2.318923503046131
5148550000.0,-120.34052171305123,-123.73989004206257,-122.99376070753625,-2.313296558283822
5148540000.0,-119.81821078608911,-122.44475132706992,-123.24949666499069,-2.4024532223040356
5148530000.0,-120.48626759517121,-123.26399520963209,-123.7423027708974,-2.3837141817830916
5148520000.0,-120.86107538538833,-124.7460672722982,-123.14366146113102,-2.2644714193294253
5148510000.0,-120.14177062707644,-123.4603382133654,-122.86424143578772,-2.32190730523847
5148500000.0,-120.66198416428767,-123.9645619365125,-123.3984422329795,-2.3236290687821164
5148490000.0,-120.11037755086845,-122.28342510598486,-124.15884162031203,-2.463322968266845
5148480000.0,-119.55799494773711,-122.59743010853212,-122.53935385569419,-2.352851377250905
5148470000.0,-120.71880453213608,-123.61231738478891,-123.84911913337449,-2.3698242062986195
5148460000.0,-121.1923131479122,-124.23720832961357,-124.16829128323187,-2.352227347725547
5148450000.0,-120.99335105708555,-123.92305017358075,-124.08577605957824,-2.3655611972678714
5148440000.0,-119.88572189386548,-122.52362158360003,-123.30337542391112,-2.401020560170351
5148430000.0,-120.58886696189289,-123.49625844688148,-123.70457316910333,-2.368184900137801
5148420000.0,-120.42929176543905,-123.28433557926641,-123.60060455620277,-2.374396374357943
5148410000.0,-121.15067030266582,-124.21490362713234,-124.10769846191906,-2.3500234214869673
5148400000.0,-120.55463032883225,-123.4974411181106,-123.63348480882387,-2.364025474375365
5148390000.0,-120.18298380954994,-122.76484744779887,-123.66865854850865,-2.4081284049900753
5148380000.0,-120.85103571929992,-124.36247776704693,-123.4120851874551,-2.301594335310939
5148370000.0,-120.54332160456596,-123.97507251276872,-123.16947581129253,-2.309886959469674
5148360000.0,-121.41135262620766,-123.80675871176807,-125.13819550251348,-2.432539754656162
5148350000.0,-119.79749383827271,-122.99414897008947,-122.6291071669189,-2.335187178015302
5148340000.0,-120.6846461751973,-122.94230985908013,-124.60593672989748,-2.45138034182676
