# freq_Hz, amplitude_linear, amplitude_dBm, phase_rad
2.480000000000000000e+08,5.674154545915702664e-05,-7.191167683494485630e+01,9.639572397890108224e-01
2.520000000000000000e+08,9.201457646730478975e-05,-6.771256741430366333e+01,1.057967072513113171e+00
2.560000000000000000e+08,2.968060796178549426e-04,-5.754024419225513043e+01,3.516129773300912809e-01
2.600000000000000000e+08,1.764068620692071346e-04,-6.205939054753174133e+01,8.117596459066165338e-01
2.640000000000000000e+08,9.228419354131512167e-05,-6.768715361669717367e+01,8.986980584268166039e-01
2.680000000000000000e+08,1.747852846445050704e-04,-6.213960272072284141e+01,4.072148470353087468e-01
2.720000000000000000e+08,1.337495455854981218e-04,-6.446385373978210964e+01,7.853432662267664233e-01
2.760000000000000000e+08,5.327160226913302195e-05,-7.245978485510939038e+01,1.235851119051807334e+00
2.800000000000000000e+08,1.684858917749937313e-04,-6.245842922476685999e+01,8.605235001270502559e-01
2.840000000000000000e+08,1.504460213782390931e-04,-6.344208590158211791e+01,2.397054580898645426e-01
2.880000000000000000e+08,1.060761673979607059e-04,-6.647734364341056335e+01,9.220843303345258590e-01
2.920000000000000000e+08,1.459051559071044939e-04,-6.370828726341564874e+01,7.020353240727916777e-01
2.960000000000000000e+08,9.575678803388233934e-05,-6.736630864095614868e+01,8.580644512664856727e-01
3.000000000000000000e+08,1.951259757828992648e-04,-6.118339828558232796e+01,3.804594321779065091e-01
