PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm_display,Phase_rad
3.22855e-06,4.211810230998749e-06,-94.50032413918203,4.218640575690746e-06,-94.48624953403308,1.1163838154166281
3.2535000000000003e-06,4.21101017330504e-06,-94.50197423084231,4.199800342383407e-06,-94.52512715093654,1.1318077912140319
3.27845e-06,4.081867439064147e-06,-94.7725221103195,4.178945972436351e-06,-94.56836491541199,1.127841934237733
3.3034e-06,4.301875141539105e-06,-94.31654401962328,4.156199846778754e-06,-94.61577160316199,1.1152063617723489
3.32835e-06,3.980880926777469e-06,-94.99011629382281,4.131695118160411e-06,-94.66713470308676,1.147133449248776
3.3533e-06,4.138381848506855e-06,-94.6530888327232,4.105574923464142e-06,-94.72222040204733,1.132609330094357
3.3782500000000002e-06,4.070857481537024e-06,-94.79598207862891,4.07799154001391e-06,-94.78077363378745,1.1426398471934323
3.4032000000000003e-06,4.019434157536653e-06,-94.90640166602915,4.049105490900042e-06,-94.8425182125166,1.1121195185591009
3.42815e-06,4.003289918672705e-06,-94.94135918544777,4.019084604621895e-06,-94.90715707337024,1.086470743788736
3.4531e-06,4.024068725519799e-06,-94.89639225817244,3.988103034595688e-06,-94.97437264345493,1.149810785327919
3.47805e-06,3.912574118449459e-06,-95.14044848822553,3.9563402442896755e-06,-95.0438273683589,1.104822988368406
3.503e-06,4.0442912281041295e-06,-94.85285161435459,3.923979963929239e-06,-95.11516441974828,1.0682444789081098
3.5279500000000002e-06,3.8044147134717066e-06,-95.38394299080062,3.891209124860033e-06,-95.18800860984928,1.0646604704787308
3.5529000000000003e-06,3.8663253635104216e-06,-95.24373207366133,3.858216777767171e-06,-95.26196753809865,1.114282160490292
3.57785e-06,3.7734760818100505e-06,-95.45486801217601,3.825193001022254e-06,-95.33663299388448,1.07501071330956
3.6028e-06,3.872940776280276e-06,-95.22888292435285,3.792327805467428e-06,-95.41158263695655,1.0769490763166767
3.62775e-06,3.721760206268135e-06,-95.57473228299122,3.7598100419466176e-06,-95.48638197362808,1.0607569870718614
3.6527e-06,3.715334986537988e-06,-95.58974049840722,3.727826317858685e-06,-95.56058664221436,1.0664483903172515
3.6776500000000003e-06,3.7127889076199192e-06,-95.59569488518734,3.6965599289359555e-06,-95.63374501518526,1.0558609109296564
3.7026000000000003e-06,3.600550837930518e-06,-95.86232109705068,3.6661898123448056e-06,-95.70540111823426,1.0505575290238987
3.72755e-06,3.6057511100194036e-06,-95.84978512572484,3.6368895270635907e-06,-95.77509785792915,1.0745954403010158
3.7525e-06,3.624637678123685e-06,-95.8044080307699,3.6088262673181436e-06,-95.84238053994326,1.0325748964036523
3.77745e-06,3.5686047723987157e-06,-95.93973100451007,3.5821599146473918e-06,-95.90680064928797,1.0100556421631268
3.8024000000000002e-06,3.5629996857513335e-06,-95.95338436241603,3.5570421339327652e-06,-95.9679198527954,1.0320104845188602
3.82735e-06,3.6246039343859926e-06,-95.80448889285101,3.5336155184564738e-06,-96.02531417275006,1.0196621157946704
3.8523e-06,3.513071055257278e-06,-96.07596136523064,3.512012788757006e-06,-96.07857826954172,1.0035106571516448
3.87725e-06,3.5313387203762006e-06,-96.0309125154624,3.4923560497272895e-06,-96.127329761079,1.0082608826684816
3.9022000000000005e-06,3.5312939194199984e-06,-96.03102271124382,3.4747561100536566e-06,-96.17121349807505,1.0192631801365104
3.92715e-06,3.574614182919812e-06,-95.92511655989716,3.45931186772432e-06,-96.20990570780674,1.0192076129552337
3.9521e-06,3.5205542831266578e-06,-96.05747914224962,3.4461097649465676e-06,-96.24311791512233,0.996157848742898
3.97705e-06,3.495641038848568e-06,-96.11916345685484,3.4352233154046845e-06,-96.27060054880808,1.026035477071321
4.002e-06,3.4809514747400787e-06,-96.15574066011915,3.426712706368148e-06,-96.29214614425324,1.057563507907084
4.0269500000000005e-06,3.4780192256759414e-06,-96.16306047632939,3.4206244777243225e-06,-96.30759205982753,1.0125896185340884
4.0519e-06,3.3712328699638194e-06,-96.4339249891006,3.4169912795642636e-06,-96.31682263444348,0.9837067317968263
4.07685e-06,3.4317273213844916e-06,-96.2794445969058,3.415831709496968e-06,-96.31977072712638,1.0089968199844976
4.1018e-06,3.4222532110632226e-06,-96.30345725019271,3.4171502304090264e-06,-96.31641859554739,1.031610419614548
4.12675e-06,3.392861963947922e-06,-96.37837622219482,3.4209371689257933e-06,-96.30679808868207,1.0219044533142758
4.1517e-06,3.530197546868748e-06,-96.03371986696632,3.427168794369594e-06,-96.2909901481797,0.9905487651547055
4.17665e-06,3.451050268863011e-06,-96.23067433576392,3.43580747755264e-06,-96.26912363271995,1.0082662404102276
