PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,phi_fit_rad,C_fit,t_pi_s
2.48005e-06,4.475152102973716e-06,4.53162209646213e-06,0.8310355371845838,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.505e-06,4.639774246079269e-06,4.5803220363285386e-06,0.8347952012247247,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.5299500000000002e-06,4.775518696229155e-06,4.625484298621519e-06,0.8449624970531293,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.5549e-06,4.726387158244559e-06,4.666778629255482e-06,0.8791182333066314,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.57985e-06,4.733885370111175e-06,4.703903058826969e-06,0.8657742497950662,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.6048e-06,4.710473208967996e-06,4.736586110799627e-06,0.840377030666732,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.62975e-06,4.738512165532647e-06,4.7645887867066955e-06,0.8512882077781397,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.6547e-06,4.659181366714823e-06,4.787706313853977e-06,0.8675077075172334,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.6796500000000003e-06,4.856935546767932e-06,4.805769642743032e-06,0.866084382988583,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.7046e-06,4.906998285314125e-06,4.8186466832645055e-06,0.8696424350074548,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.72955e-06,4.917436020314618e-06,4.8262432706218045e-06,0.8579164399349318,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.7545e-06,4.674276083040598e-06,4.828503853921685e-06,0.8318550300900117,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.77945e-06,4.730382666904625e-06,4.825411902396364e-06,0.8906358590933235,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.8044e-06,4.8447516775395715e-06,4.816990026286598e-06,0.8845949107991352,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.8293500000000003e-06,4.77724779509384e-06,4.803299811501782e-06,0.8388308680544292,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.8543e-06,4.8029295521811505e-06,4.7844413692661055e-06,0.8887218678220499,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.87925e-06,4.906537513199974e-06,4.760552604044045e-06,0.8585958537011932,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.9042e-06,4.487242513722931e-06,4.731808205098578e-06,0.8814821494762041,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.92915e-06,4.683353341935771e-06,4.698418369056434e-06,0.8563556881936277,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.9541000000000002e-06,4.692377969693548e-06,4.660627262821799e-06,0.8609892807330917,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.9790500000000003e-06,4.541448124674544e-06,4.618711238078561e-06,0.8866841658334145,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
3.004e-06,4.5506768345938446e-06,4.572976810437772e-06,0.841231998392506,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
3.02895e-06,4.494687870298218e-06,4.5237584180080065e-06,0.8358441759046988,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
3.0539e-06,4.479704780810316e-06,4.471415975779367e-06,0.8282552979870832,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
3.07885e-06,4.497322862214395e-06,4.4163322437049226e-06,0.8455964580741159,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
3.1038000000000003e-06,4.202680175005143e-06,4.358910027725812e-06,0.8472059314633065,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
3.1287500000000003e-06,4.290160772544614e-06,4.299569234207837e-06,0.8233781711800351,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
3.1537e-06,4.17967401813173e-06,4.238743799329267e-06,0.8265941868993495,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
3.17865e-06,4.30518890715437e-06,4.176878515874083e-06,0.8071779904224398,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
