PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,C_fit,t_pi_s
1.2824499999999999e-06,3.8056101026840816e-06,3.857488146902138e-06,2.271307642746382,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.3074e-06,3.690500778410046e-06,3.820651007751481e-06,2.2601928001428755,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.33235e-06,3.7812367424131712e-06,3.782070668658937e-06,2.2482126170530634,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.3573e-06,3.677738728612033e-06,3.741993463742614e-06,2.2304560758633443,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.38225e-06,3.7061325011748293e-06,3.7006752845566448e-06,2.2195107570458776,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.4072e-06,3.6423167054126365e-06,3.658379946232544e-06,2.2636057793723077,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.43215e-06,3.625228857367832e-06,3.61537750302881e-06,2.2447768725274897,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.4571e-06,3.6563537797884572e-06,3.5719425240439065e-06,2.221268896567763,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.48205e-06,3.4885185750921617e-06,3.5283523401021605e-06,2.230561109878059,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.507e-06,3.5217012489194267e-06,3.484885273006129e-06,2.216189822307486,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.53195e-06,3.561503518467515e-06,3.441818858461607e-06,2.241563520882755,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.5569e-06,3.35506787561902e-06,3.3994280740218374e-06,2.226612786420827,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.58185e-06,3.288157971553301e-06,3.3579835833654326e-06,2.1891002622865505,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.6068e-06,3.26229198656557e-06,3.3177500081182375e-06,2.167816450716673,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.63175e-06,3.2379188484191624e-06,3.278984238253487e-06,2.177774495704349,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.6567e-06,3.1289719220690637e-06,3.2419337918582978e-06,2.2010201781655594,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.68165e-06,3.068697868808884e-06,3.2068352347393184e-06,2.1818857798898734,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.7066e-06,3.1301447726865737e-06,3.1739126699583216e-06,2.176543154284726,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.73155e-06,3.1434227193173483e-06,3.1433763069419727e-06,2.2096014592510187,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.7565e-06,3.159820671818183e-06,3.1154211193019816e-06,2.192662756402494,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.7814500000000001e-06,3.135492245428587e-06,3.0902255999354004e-06,2.1850908193603122,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.8064e-06,3.1769848132595204e-06,3.067950621353706e-06,2.153972318243896,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.83135e-06,2.922637202832471e-06,3.048738408517432e-06,2.1517600643548573,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.8563000000000001e-06,3.0006494173544533e-06,3.032711630734762e-06,2.181780952761336,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.88125e-06,2.939728560232259e-06,3.019972618422277e-06,2.1516671191255132,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.9062e-06,3.1170886626902924e-06,3.0106027097288227e-06,2.1666996290436535,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.93115e-06,2.8992196831974265e-06,3.004661731194264e-06,2.1688246864040845,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.9561e-06,2.911162839012084e-06,3.002187615759121e-06,2.2184099134023314,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.98105e-06,2.8682994082191644e-06,3.003196160564065e-06,2.1620598503412105,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.006e-06,3.0190074910495866e-06,3.007680926085729e-06,2.20750182176633,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.03095e-06,3.070753969609651e-06,3.015613277252839e-06,2.1574295111204482,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.0559e-06,2.996538001936527e-06,3.0269425662801437e-06,2.1664241398754065,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.08085e-06,3.0959526634607567e-06,3.0415964560527546e-06,2.112039049392854,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.1058000000000002e-06,2.980864742787064e-06,3.0594813819961016e-06,2.159427894340781,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.13075e-06,2.9114455376033154e-06,3.080483149482472e-06,2.1898296718760024,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.1557e-06,3.02901604185656e-06,3.1044676629597225e-06,2.1732876717686818,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.18065e-06,3.1545790177147745e-06,3.131281782146698e-06,2.2109977918112023,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.2056e-06,3.248242757219728e-06,3.1607542998285806e-06,2.1283132934177726,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.23055e-06,3.2604016612005094e-06,3.1926970350089763e-06,2.1962547728727286,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.2555000000000003e-06,3.294458765747967e-06,3.2269060344390104e-06,2.1836887818043924,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.28045e-06,3.3373173471543914e-06,3.263162874851697e-06,2.2354391673059295,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.3054e-06,3.167401401496662e-06,3.301236057586876e-06,2.201474615859125,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.33035e-06,3.2739193257498734e-06,3.3408824867020737e-06,2.1776059791346274,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.3553e-06,3.391119757763366e-06,3.381849021131608e-06,2.210630407074947,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.38025e-06,3.5094032849869923e-06,3.423874090983454e-06,2.2175912034705867,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.4052000000000003e-06,3.4213938978149323e-06,3.466689367653876e-06,2.208268535285601,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.43015e-06,3.675662166521529e-06,3.5100214770961875e-06,2.2283637550851525,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.4551e-06,3.469550110248782e-06,3.5535937453045022e-06,2.2177211444070566,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.48005e-06,3.6227648921756564e-06,3.597127964867594e-06,2.2407928117692255,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.505e-06,3.6775870496400563e-06,3.6403461713135106e-06,2.2559932032336616,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.5299500000000002e-06,3.761776219482195e-06,3.6829724179030184e-06,2.255440430900577,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.5549e-06,3.8126311966934682e-06,3.7247345375399e-06,2.2413822712826343,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.57985e-06,3.86826207624128e-06,3.7653658805483593e-06,2.246556921974059,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.6048e-06,3.700941596901519e-06,3.8046070172218933e-06,2.245593328742491,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.62975e-06,3.8209664081153045e-06,3.84220739427291e-06,2.2854995431367997,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.6547e-06,3.824625707032802e-06,3.877926934606722e-06,2.2548794669877052,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.6796500000000003e-06,3.9706412983222234e-06,3.911537570205412e-06,2.2851117879646194,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.7046e-06,3.970324790194218e-06,3.942824698334166e-06,2.2674058654649145,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
