PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm,Phase_rad
4.3465000000000004e-07,8.026019766177809e-07,-108.89969554409709,7.406350965609499e-07,-109.59761428008265,-2.2641312260111306
4.421e-07,8.10538395445766e-07,-108.8142281967387,7.77887833617584e-07,-109.17136046225116,-2.280279373082227
4.4955000000000005e-07,7.425017309857127e-07,-109.57575063423735,8.761231996975431e-07,-108.1383964317171,-2.2821746521747333
4.5700000000000003e-07,8.146969351695268e-07,-108.76977839276944,8.78353102699664e-07,-108.11631724856383,-2.0951729775034957
4.6445000000000006e-07,7.412784180627252e-07,-109.59007292242298,7.838354676533351e-07,-109.10520182511073,-2.3262325008186613
4.7190000000000004e-07,7.117576251005831e-07,-109.9430574740441,7.459837996105035e-07,-109.5351121216859,-2.148787680951567
4.7935e-07,8.629789931283546e-07,-108.26969556079356,8.247009003774592e-07,-108.66377066916442,-2.3084192160234305
4.868e-07,8.709630006260385e-07,-108.18970592059489,8.929509619325014e-07,-107.97314785432135,-2.167311552615225
4.942500000000001e-07,7.715238830174365e-07,-109.24271255392144,8.431281933283554e-07,-108.471827805374,-2.259394501509386
5.017e-07,8.0806058753423e-07,-108.84082154456874,7.580133527383636e-07,-109.39616292360796,-2.3039797139515166
5.0915e-07,9.029216944389351e-07,-107.87669828510074,7.747738427851671e-07,-109.20620104263101,-2.2512004287485556
5.166000000000001e-07,8.264668671720942e-07,-108.64519109314213,8.653442164148248e-07,-108.24592213560629,-2.2316940878805474
5.240500000000001e-07,8.417811030094579e-07,-108.48571660088476,8.847944870916765e-07,-108.05285188334128,-2.223305093460302
5.315e-07,8.307512110451164e-07,-108.600280382297,8.046906004605734e-07,-108.87712147554973,-2.1508984787042027
5.3895e-07,8.019572890365672e-07,-108.90667526195811,7.55718519475083e-07,-109.42249874185802,-2.1575570452807264
5.464000000000001e-07,8.421361379915213e-07,-108.48205395685157,8.160317860048891e-07,-108.75555852961469,-2.293301493335807
5.5385e-07,8.402094419447836e-07,-108.50194889014487,8.88072773162677e-07,-108.02072893301316,-2.2117850141291315
5.613e-07,8.229730557329933e-07,-108.68198771184957,8.579073964208649e-07,-108.32089180139525,-2.26358812926096
5.687500000000001e-07,7.490403494131396e-07,-109.49959578401743,7.769107918319201e-07,-109.18227696050401,-2.179552276744217
5.762000000000001e-07,8.807971031427641e-07,-108.09218249109767,7.76126517841699e-07,-109.1910495995922,-2.1836587464406763
5.8365e-07,7.633628958997457e-07,-109.33507910813846,8.558842174932343e-07,-108.34139968217184,-2.1995577912441564
5.911e-07,8.602399886540193e-07,-108.29730750201384,8.884014777650726e-07,-108.01751459772964,-2.13978696594429
5.985500000000001e-07,8.454893386306557e-07,-108.44753733048196,8.241361884339974e-07,-108.66972034829679,-2.206276855231456
6.060000000000001e-07,7.784054319551113e-07,-109.16558288510444,7.686885451919955e-07,-109.27469185600565,-2.2217370651637434
6.1345e-07,8.213457663500178e-07,-108.69917958536497,8.110591927938201e-07,-108.80864902163714,-2.306839871115338
6.209000000000001e-07,8.311909008649842e-07,-108.59568443721312,8.825202882722507e-07,-108.07520607981951,-2.1577502444345997
6.283500000000001e-07,8.747567281761627e-07,-108.15195421263527,8.698122517514506e-07,-108.20118963070406,-2.2139202116208425
6.358e-07,8.210554007594261e-07,-108.70225080030485,7.963398495905029e-07,-108.9677310679224,-2.18986028843525
6.4325e-07,8.296651266463588e-07,-108.61164332827202,7.815285151714121e-07,-109.13080347352624,-2.264113387130354
6.507000000000001e-07,7.725001483216226e-07,-109.23172861371384,8.485401587982613e-07,-108.41625202409254,-2.2445190116486895
6.581500000000001e-07,8.779353527387202e-07,-108.12044929203796,8.899049211177044e-07,-108.00282787539929,-2.307780005941752
6.656e-07,8.570530384426228e-07,-108.329546064868,8.416885752417834e-07,-108.4866713979799,-2.2179981945906846
6.730500000000001e-07,8.151026334748887e-07,-108.76545411775143,7.839834319788283e-07,-109.10356234773778,-2.1076344797526545
6.805000000000001e-07,8.238971047627365e-07,-108.67224050903138,8.098878417652942e-07,-108.82120245776463,-2.230539088290394
6.8795e-07,8.338181715802578e-07,-108.56827293201519,8.772261478832565e-07,-108.12746867508439,-2.2574994565959337
6.954e-07,8.53052808781188e-07,-108.37018169779725,8.791173706838267e-07,-108.10876281407025,-2.250857490258213
7.028500000000001e-07,8.202689151367114e-07,-108.71057496607455,8.154996143515346e-07,-108.76122484337665,-2.072878100570577
7.103000000000001e-07,7.995287760009447e-07,-108.93301806048876,7.903877891780468e-07,-109.03289560037094,-2.1814707015449617
7.1775e-07,7.981438343557041e-07,-108.94807678180732,8.438559145707019e-07,-108.46433406935033,-2.1097257696268503
7.252000000000001e-07,8.052611046103451e-07,-108.87096559363754,8.901031594823143e-07,-108.00089319141338,-2.2760011144089454
7.326500000000001e-07,8.811240328714964e-07,-108.08895910553548,8.571383688829283e-07,-108.32868131804368,-2.2228275575645924
7.401e-07,7.854923609149227e-07,-109.08686072760682,8.007383829174263e-07,-108.91988711029158,-2.2630456035110593
7.4755e-07,8.631439268417801e-07,-108.26803566042356,8.123735314178279e-07,-108.79458474590928,-2.2831740401108678
7.550000000000001e-07,8.245145645325698e-07,-108.66573341160245,8.729773316736385e-07,-108.16964071007052,-2.2346179228448584
7.624500000000001e-07,8.550346548731076e-07,-108.35002569931936,8.862809326259139e-07,-108.03827192276907,-2.2177979052290118
7.699e-07,8.306899547402958e-07,-108.6009208690196,8.338057819410875e-07,-108.56840199593066,-2.2418633438917652
7.773500000000001e-07,9.268818010520352e-07,-107.64921294242953,8.020212652593536e-07,-108.9059823718825,-2.222201407421339
7.848000000000001e-07,8.893378834220705e-07,-108.00836419343197,8.421271841658103e-07,-108.48214630813769,-2.125641745564224
7.9225e-07,8.550158094853824e-07,-108.35021714274326,8.897825347480315e-07,-108.004022505949,-2.2436059610293846
7.997e-07,9.013222935851305e-07,-107.89209777988562,8.70513279603941e-07,-108.19419203079579,-2.211896033079853
8.071500000000001e-07,8.503086088603418e-07,-108.39816852200525,8.181965297277255e-07,-108.7325473800861,-2.133793489136607
8.146000000000001e-07,9.617490627400568e-07,-107.3284646084989,8.181846969043616e-07,-108.73267299702201,-2.2339520236038095
8.2205e-07,8.744259624895597e-07,-108.15523916886022,8.703795871433344e-07,-108.19552610250433,-2.1760418870422757
8.295000000000001e-07,9.194303133055648e-07,-107.71932367951833,8.91870254667588e-07,-107.98366644867015,-2.2120181660338574
8.369500000000001e-07,9.313946633426705e-07,-107.60702513924792,8.508949736294518e-07,-108.3921808789903,-2.241619761248645
8.444e-07,8.660267081426225e-07,-108.23907432726031,8.157290650858031e-07,-108.75878130643608,-2.1636963087182215
8.5185e-07,7.526860293460561e-07,-109.45742294053642,8.434275181563867e-07,-108.46874471427681,-2.124697057219525
8.593000000000001e-07,8.546166290034602e-07,-108.35427326334157,8.896557278395475e-07,-108.00526045933852,-2.1304465757394495
8.667500000000001e-07,8.180805095367241e-07,-108.73377912575305,8.82027674981736e-07,-108.08005580323413,-2.2473900014873953
8.742e-07,7.863154639569505e-07,-109.07776370858934,8.357484136567993e-07,-108.5481888248345,-2.2794752760518975
8.816500000000001e-07,8.011529046530899e-07,-108.91539181131986,8.268675863825143e-07,-108.64098068925412,-2.3385709616854258
8.891000000000001e-07,7.815203929511327e-07,-109.13089374416153,8.698455366841748e-07,-108.2008572558494,-2.2438221953617408
8.965500000000001e-07,8.354434578434403e-07,-108.55135879306363,8.964935160608156e-07,-107.93875698634857,-2.1903308423071546
